customer_id,type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,churn,total_services
7590-VHVEG,Month-to-month,Yes,Electronic check,29.85,29.85,Female,0,Yes,No,DSL,No,Yes,No,No,No,No,No,0,1
5575-GNVDE,One year,No,Mailed check,56.95,1889.5,Male,0,No,No,DSL,Yes,No,Yes,No,No,No,No,0,2
3668-QPYBK,Month-to-month,Yes,Mailed check,53.85,108.15,Male,0,No,No,DSL,Yes,Yes,No,No,No,No,No,1,2
7795-CFOCW,One year,No,Bank transfer (automatic),42.3,1840.75,Male,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No,0,3
9237-HQITU,Month-to-month,Yes,Electronic check,70.7,151.65,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,1,0
9305-CDSKC,Month-to-month,Yes,Electronic check,99.65,820.5,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,3
1452-KIOVK,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Male,0,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,0,2
6713-OKOMC,Month-to-month,No,Mailed check,29.75,301.9,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,1
7892-POOKP,Month-to-month,Yes,Electronic check,104.8,3046.05,Female,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,4
6388-TABGU,One year,No,Bank transfer (automatic),56.15,3487.95,Male,0,No,Yes,DSL,Yes,Yes,No,No,No,No,No,0,2
9763-GRSKD,Month-to-month,Yes,Mailed check,49.95,587.45,Male,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0,1
7469-LKBCI,Two year,No,Credit card (automatic),18.95,326.8,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
8091-TTVAX,One year,No,Credit card (automatic),100.35,5681.1,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0,3
0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,4
5129-JLPIS,Month-to-month,Yes,Electronic check,105.5,2686.05,Male,0,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,0,5
3655-SNQYZ,Two year,No,Credit card (automatic),113.25,7895.15,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,6
8191-XWSZG,One year,No,Mailed check,20.65,1022.95,Female,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
9959-WOFKT,Two year,No,Bank transfer (automatic),106.7,7382.25,Male,0,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,0,4
4190-MFLUW,Month-to-month,No,Credit card (automatic),55.2,528.35,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,1,2
4183-MYFRB,Month-to-month,Yes,Electronic check,90.05,1862.9,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,0,3
8779-QRDMV,Month-to-month,Yes,Electronic check,39.65,39.65,Male,1,No,No,DSL,No,No,Yes,No,No,Yes,No,1,2
1680-VDCWW,One year,No,Bank transfer (automatic),19.8,202.25,Male,0,Yes,No,No internet Service,No,No,No,No,No,No,No,0,0
1066-JKSGK,Month-to-month,No,Mailed check,20.15,20.15,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,1,0
3638-WEABW,Two year,Yes,Credit card (automatic),59.9,3505.1,Female,0,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,0,2
6322-HRPFA,Month-to-month,No,Credit card (automatic),59.6,2970.3,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,0,3
6865-JZNKO,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Female,0,No,No,DSL,Yes,Yes,No,No,No,No,No,0,2
6467-CHFZW,Month-to-month,Yes,Electronic check,99.35,4749.15,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,3
8665-UTDHZ,Month-to-month,No,Electronic check,30.2,30.2,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No,1,1
5248-YGIJN,Two year,Yes,Credit card (automatic),90.25,6369.45,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,6
